             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       3200795_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200796_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200797_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200798_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200799_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200800_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200801_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200802_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200803_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200804_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200805_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200806_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200807_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200808_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200809_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200810_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200811_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200812_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200813_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200814_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200815_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200816_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200817_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200818_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200819_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200820_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200821_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200822_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200823_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200824_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200825_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200826_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200827_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200829_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200830_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200831_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200832_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200833_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200834_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200835_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200836_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200837_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200838_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200839_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200840_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200841_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200842_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200843_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200844_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200845_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200846_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200847_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200848_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200849_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200850_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200851_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200852_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200853_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200854_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200855_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200856_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200857_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200858_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200859_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200860_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200861_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200862_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200863_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200864_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200865_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200866_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200867_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200868_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200869_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200870_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200871_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200872_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200873_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200874_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200875_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200876_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200877_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200878_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200879_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200880_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200881_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200882_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200883_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200884_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200885_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200886_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200887_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200888_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200889_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200890_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200891_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200892_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200893_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200894_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200895_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200896_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200897_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200898_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200899_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200900_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200901_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200902_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200903_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200904_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200905_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200906_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200907_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200908_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200909_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200910_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200911_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200912_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200913_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200914_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200915_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200916_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200917_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200918_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
